Elemento,Fecha,Valor_Original,Valor_reemplazo,Limite,Procedimiento_adoptado,Comentario
Temp.degC.avg.1h.s1,1996-05-23 13:00:00,27.77,27.77,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,1996-05-23 14:00:00,28.3,28.3,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2000-05-17 11:00:00,27.93,27.93,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2000-05-17 12:00:00,27.96,27.96,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2005-05-13 12:00:00,27.74,27.74,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2005-05-14 11:00:00,27.74,27.74,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2005-05-24 11:00:00,27.8,27.8,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2005-05-26 11:00:00,28.13,28.13,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2005-05-26 12:00:00,28.1,28.1,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2005-05-30 13:00:00,28.28,28.28,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2006-05-08 12:00:00,27.86,27.86,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2009-05-25 11:00:00,27.94,27.94,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2010-05-18 14:00:00,27.9,27.9,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2011-05-18 11:00:00,27.87,27.87,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2011-05-30 12:00:00,28.07,28.07,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2013-05-01 11:00:00,27.92,27.92,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2013-05-01 13:00:00,27.77,27.77,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2013-05-01 14:00:00,27.78,27.78,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2013-05-02 09:00:00,28.29,28.29,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2016-05-24 14:00:00,27.9,27.9,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2017-05-01 13:00:00,27.8,27.8,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2017-05-24 11:00:00,27.8,27.8,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2017-05-24 12:00:00,28.2,28.2,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2017-05-25 14:00:00,27.8,27.8,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2018-05-05 12:00:00,27.9,27.9,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2019-05-12 12:00:00,27.9,27.9,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2019-05-15 12:00:00,28.1,28.1,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2019-05-31 12:00:00,28.1,28.1,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2020-05-24 12:00:00,28.7,28.7,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2020-05-24 13:00:00,28.9,28.9,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2020-05-26 12:00:00,27.8,27.8,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2022-05-07 12:00:00,28.0,28.0,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2023-05-10 12:00:00,28.3,28.3,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2023-05-10 13:00:00,27.8,27.8,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2023-05-17 12:00:00,28.0,28.0,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2023-05-17 13:00:00,28.1,28.1,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2023-05-17 14:00:00,28.3,28.3,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2023-05-24 12:00:00,28.0,28.0,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2023-05-25 12:00:00,27.8,27.8,Mayor_a_27.73,dato_sospechoso,
Temp.degC.avg.1h.s1,2023-05-29 12:00:00,28.1,28.1,Mayor_a_27.73,dato_sospechoso,
